atom,delta,xyz,px,py,pz
0,0.01,x,-0.237069916,-0.126569944,-0.087671083
0,0.01,y,-0.238973453,-0.124781256,-0.087104687
0,0.01,z,-0.238628951,-0.126978998,-0.085574299
1,0.01,x,-0.237071988,-0.126824516,-0.087301473
1,0.01,y,-0.238718945,-0.124781285,-0.087800195
1,0.01,z,-0.238997011,-0.126282645,-0.085573252
2,0.01,x,-0.227719426,-0.127691324,-0.086423577
2,0.01,y,-0.238226243,-0.115167665,-0.089763448
2,0.01,z,-0.240141735,-0.124457549,-0.075906474
3,0.01,x,-0.227721238,-0.126065874,-0.088793824
3,0.01,y,-0.239855022,-0.115172697,-0.085276974
3,0.01,z,-0.237760301,-0.128949298,-0.075906287
4,0.01,x,-0.243750414,-0.128205964,-0.084895985
4,0.01,y,-0.240426849,-0.130203479,-0.085676939
4,0.01,z,-0.236260356,-0.124965234,-0.091961914
5,0.01,x,-0.240952982,-0.126757251,-0.08751239
5,0.01,y,-0.238863597,-0.13268866,-0.090262176
5,0.01,z,-0.238787303,-0.129539174,-0.092274764
6,0.01,x,-0.244321364,-0.124402326,-0.089649914
6,0.01,y,-0.236609298,-0.13019761,-0.086042299
6,0.01,z,-0.240872209,-0.125266166,-0.091397831
7,0.01,x,-0.240952235,-0.126742903,-0.087533816
7,0.01,y,-0.238831485,-0.133550473,-0.090028074
7,0.01,z,-0.238837156,-0.129100447,-0.091397727
8,0.01,x,-0.244320474,-0.127889213,-0.084568799
8,0.01,y,-0.239958748,-0.12961685,-0.086311967
8,0.01,z,-0.236004327,-0.125454105,-0.09196291
9,0.01,x,-0.243750766,-0.124820844,-0.089826565
9,0.01,y,-0.237032878,-0.129884533,-0.085909525
9,0.01,z,-0.24120653,-0.124977653,-0.092274773
