atom,delta,xyz,px,py,pz
0,0.5,x,0.089679711,0.018361236,-0.284019715
0,0.5,y,-0.017347848,0.092703459,-0.283529013
0,0.5,z,7.755271e-06,0.000494049531,-0.207090627
0,-0.5,x,-0.092894241,-0.019473493,-0.282744282
0,-0.5,y,0.020415469,-0.089723597,-0.283233131
0,-0.5,z,1.645321e-06,0.00049067264,-0.366542436
0,0.1,x,0.01857703,0.004569568,-0.283987329
0,0.1,y,-0.004034278,0.019202061,-0.283991741
0,0.1,z,7.396514e-06,0.000500342278,-0.268213386
0,-0.1,x,-0.018735342,-0.003658208,-0.283994236
0,-0.1,y,0.004190268,-0.018117067,-0.283990568
0,-0.1,z,-6.702861e-06,0.000492257782,-0.300055154
1,0.5,x,0.092894214,-0.019473494,-0.282744283
1,0.5,y,0.01734782,0.092703459,-0.283529015
1,0.5,z,-7.783407e-06,0.000494051622,-0.207090627
1,-0.5,x,-0.08967974,0.018361236,-0.284019714
1,-0.5,y,-0.020415494,-0.089723596,-0.283233129
1,-0.5,z,-1.672585e-06,0.000490671182,-0.366542436
1,0.1,x,0.018735315,-0.003658208,-0.283994237
1,0.1,y,0.00403425,0.019202061,-0.283991742
1,0.1,z,-7.424164e-06,0.00050034268,-0.268213386
1,-0.1,x,-0.018577057,0.004569568,-0.283987329
1,-0.1,y,-0.004190296,-0.018117067,-0.283990568
1,-0.1,z,6.67539e-06,0.000492257413,-0.300055154
2,0.5,x,0.134702289,0.111939439,0.399979263
2,0.5,y,0.107276917,0.07942196,0.398044886
2,0.5,z,-1.5048805e-05,0.000440580645,0.133818698
2,-0.5,x,0.26910122,0.09816975,-0.326505257
2,-0.5,y,0.29311853,0.170306096,-0.322819721
2,-0.5,z,1.6830462e-05,0.000581581417,-0.953696127
2,0.1,x,0.115184444,-0.026310722,-0.286574123
2,0.1,y,0.02696538,0.116260784,-0.286673108
2,0.1,z,-6.225391e-06,0.000478997325,-0.182016637
2,-0.1,x,-0.115932448,0.026817008,-0.286749872
2,-0.1,y,-0.026184113,-0.114814082,-0.286646635
2,-0.1,z,1.1572754e-05,0.000521065564,-0.399513222
3,0.5,x,-0.269101334,0.098169844,-0.3265053
3,0.5,y,-0.107276957,0.079421941,0.398044844
3,0.5,z,1.5037278e-05,0.00044058096,0.133818691
3,-0.5,x,-0.134702255,0.111939448,0.399979189
3,-0.5,y,-0.293118551,0.170306123,-0.322819717
3,-0.5,z,-1.6872346e-05,0.000581575318,-0.953696126
3,0.1,x,0.115932422,0.026817008,-0.286749855
3,0.1,y,-0.026965451,0.116260773,-0.286673092
3,0.1,z,6.200041e-06,0.000478997483,-0.18201663
3,-0.1,x,-0.115184445,-0.02631074,-0.286574116
3,-0.1,y,0.026184135,-0.114814069,-0.286646608
3,-0.1,z,-1.1603269e-05,0.000521065398,-0.399513221
4,0.5,x,-0.115086221,0.021236736,-0.275823747
4,0.5,y,0.014095329,-0.307633143,-0.431838592
4,0.5,z,0.004866181,-0.163768708,-0.531299198
